Store	Product	Date	Units	Revenue
15	magazines	4/28/2014	148	$109.52 
15	books	2/16/2010	139	$100.08 
20	food	4/30/2010	114	$38.76 
13	cds	5/26/2014	143	$50.05 
14	books	8/20/2012	68	$34.68 
4	books	8/28/2010	99	$31.68 
11	food	10/20/2011	38	$5.70 
19	cds	3/13/2011	138	$52.44 
4	toys	10/4/2012	125	$35.00 
10	toys	8/26/2010	29	$7.25 
20	magazines	3/19/2010	48	$8.64 
9	toys	10/30/2013	29	$14.79 
3	books	4/6/2010	147	$69.09 
13	food	1/1/2012	61	$40.87 
8	toys	4/6/2014	37	$23.31 
6	food	12/24/2014	123	$44.28 
9	food	5/21/2014	146	$49.64 
13	magazines	2/4/2010	121	$85.91 
6	magazines	12/27/2012	127	$57.15 
14	cds	3/12/2014	29	$7.25 
17	dvds	7/29/2011	23	$11.04 
20	dvds	6/10/2012	29	$4.35 
4	dvds	9/26/2010	69	$31.05 
12	magazines	2/22/2012	148	$60.68 
7	magazines	11/5/2012	85	$36.55 
14	cds	12/1/2014	128	$62.72 
11	dvds	11/26/2012	84	$22.68 
16	toys	11/1/2010	132	$99.00 
6	food	12/3/2011	20	$3.60 
20	magazines	6/30/2010	60	$25.80 
4	dvds	8/14/2013	81	$18.63 
4	toys	1/28/2012	92	$19.32 
10	food	4/7/2011	39	$17.16 
19	cds	1/13/2010	130	$98.80 
14	books	1/26/2013	124	$26.04 
10	toys	2/1/2014	82	$15.58 
14	magazines	11/5/2012	54	$38.88 
5	magazines	4/20/2010	113	$14.69 
6	cds	9/26/2014	15	$4.50 
10	toys	12/24/2014	57	$18.81 
5	books	8/31/2013	23	$6.90 
19	toys	5/18/2011	133	$41.23 
14	food	12/11/2010	111	$21.09 
16	books	6/21/2010	129	$91.59 
18	magazines	12/15/2014	105	$30.45 
4	cds	3/18/2013	14	$4.90 
11	food	5/31/2014	59	$19.47 
5	food	6/27/2014	86	$66.22 
3	food	2/7/2011	111	$87.69 
17	food	7/6/2012	69	$31.05 
10	books	5/13/2010	133	$38.57 
13	books	3/23/2010	104	$46.80 
10	toys	11/12/2010	100	$35.00 
5	toys	8/31/2010	60	$9.60 
15	books	3/20/2014	107	$36.38 
9	toys	3/21/2013	73	$31.39 
16	dvds	3/6/2011	80	$20.80 
15	books	12/26/2014	144	$87.84 
15	toys	4/21/2010	124	$27.28 
6	dvds	10/12/2010	123	$15.99 
16	toys	12/22/2013	91	$42.77 
18	dvds	6/24/2013	65	$33.15 
10	food	12/21/2010	101	$79.79 
3	dvds	9/25/2010	17	$7.82 
18	toys	7/25/2013	88	$51.92 
19	toys	12/30/2010	96	$74.88 
2	cds	4/21/2013	18	$4.32 
11	toys	1/12/2014	24	$7.68 
3	books	3/30/2014	33	$13.20 
2	cds	12/22/2010	60	$6.00 
14	cds	11/9/2013	60	$27.00 
12	books	1/2/2011	95	$56.05 
17	magazines	4/11/2010	102	$37.74 
18	books	8/3/2014	51	$7.14 
9	food	2/21/2014	141	$25.38 
11	books	11/14/2013	101	$47.47 
20	cds	12/30/2011	95	$66.50 
1	books	12/10/2013	149	$105.79 
17	books	12/19/2011	131	$79.91 
19	books	4/11/2013	131	$57.64 
2	toys	10/25/2012	51	$16.32 
19	dvds	11/16/2010	101	$73.73 
18	toys	7/21/2014	131	$78.60 
11	food	2/11/2011	77	$59.29 
10	dvds	8/21/2010	63	$34.65 
4	toys	3/5/2012	110	$88.00 
4	magazines	9/23/2012	84	$17.64 
1	books	10/19/2012	11	$7.37 
5	books	10/29/2014	107	$84.53 
16	books	10/29/2010	145	$56.55 
12	food	5/8/2013	80	$36.80 
12	food	7/17/2013	58	$27.84 
13	food	5/29/2010	124	$76.88 
9	food	1/21/2011	18	$12.06 
5	magazines	7/3/2011	85	$34.85 
9	magazines	6/7/2011	146	$43.80 
17	food	5/2/2012	38	$11.40 
20	food	3/9/2014	84	$36.96 
14	cds	9/1/2014	90	$50.40 
3	books	10/14/2012	79	$10.27 
14	toys	3/28/2010	16	$8.48 
11	food	8/6/2014	75	$55.50 
2	food	6/24/2010	112	$76.16 
17	books	4/3/2010	116	$29.00 
17	dvds	8/22/2013	126	$84.42 
13	toys	3/4/2014	124	$43.40 
3	cds	8/25/2010	119	$53.55 
17	magazines	7/24/2012	44	$8.80 
13	cds	5/25/2011	75	$30.75 
11	food	2/9/2014	63	$40.95 
11	dvds	8/24/2012	120	$66.00 
8	cds	7/9/2013	35	$19.60 
10	magazines	3/16/2012	62	$10.54 
3	cds	4/14/2010	121	$19.36 
10	cds	4/29/2013	82	$59.86 
12	magazines	11/9/2014	103	$74.16 
13	food	10/16/2012	58	$22.62 
16	books	11/6/2012	110	$48.40 
18	magazines	6/22/2013	27	$14.04 
4	cds	10/15/2014	145	$72.50 
2	books	2/7/2012	41	$4.51 
8	magazines	8/12/2013	147	$97.02 
7	cds	9/10/2010	104	$72.80 
2	magazines	4/29/2012	68	$29.24 
12	magazines	4/5/2014	124	$83.08 
6	toys	6/25/2012	103	$54.59 
9	cds	3/10/2013	111	$17.76 
14	food	5/22/2010	127	$58.42 
7	dvds	1/23/2014	84	$46.20 
18	dvds	6/20/2010	67	$39.53 
13	books	5/8/2010	93	$15.81 
9	magazines	11/18/2011	142	$34.08 
13	cds	12/15/2010	19	$8.36 
6	dvds	11/6/2010	98	$64.68 
13	cds	1/30/2012	60	$13.20 
4	toys	7/29/2010	83	$18.26 
7	cds	9/4/2013	86	$45.58 
3	magazines	9/16/2014	138	$92.46 
12	toys	9/28/2010	84	$54.60 
7	books	4/1/2013	132	$29.04 
1	magazines	2/19/2013	100	$14.00 
6	books	4/22/2013	101	$48.48 
5	magazines	3/28/2012	118	$80.24 
13	cds	12/17/2010	143	$71.50 
5	dvds	5/25/2013	135	$41.85 
10	food	10/26/2013	140	$42.00 
3	toys	3/7/2013	141	$26.79 
6	cds	10/13/2012	19	$7.79 
6	food	3/23/2013	43	$33.54 
18	cds	7/22/2010	123	$61.50 
8	magazines	12/18/2011	42	$4.62 
6	dvds	12/1/2011	144	$87.84 
13	dvds	6/26/2010	104	$83.20 
13	food	4/28/2011	147	$66.15 
12	dvds	6/1/2012	137	$57.54 
8	cds	5/16/2013	30	$16.80 
12	magazines	6/2/2012	26	$4.42 
13	toys	3/28/2011	19	$10.83 
18	food	4/30/2012	96	$72.96 
14	toys	10/19/2012	44	$27.28 
9	cds	2/18/2011	65	$38.35 
15	dvds	4/1/2010	109	$85.02 
5	cds	3/18/2014	123	$82.41 
17	food	12/31/2013	28	$3.64 
6	books	7/9/2012	51	$35.70 
8	dvds	11/24/2013	140	$53.20 
12	food	10/28/2012	24	$4.56 
7	magazines	5/21/2014	76	$55.48 
7	cds	4/6/2010	102	$72.42 
5	magazines	2/16/2014	51	$24.99 
18	toys	12/13/2010	89	$27.59 
6	dvds	4/22/2014	36	$9.36 
3	toys	9/13/2010	51	$23.46 
13	toys	3/9/2010	136	$42.16 
15	food	7/17/2010	126	$88.20 
2	dvds	5/19/2010	28	$8.12 
14	books	11/8/2013	93	$54.87 
3	toys	9/18/2011	28	$17.92 
8	magazines	12/9/2013	64	$39.04 
11	cds	11/18/2011	133	$81.13 
13	magazines	9/28/2013	150	$49.50 
1	food	9/27/2013	85	$63.75 
5	books	10/17/2010	32	$10.56 
2	toys	11/20/2012	149	$98.34 
7	books	3/21/2010	50	$27.50 
19	magazines	7/31/2012	130	$44.20 
15	magazines	1/1/2013	134	$85.76 
4	books	1/21/2014	16	$10.08 
17	food	3/16/2011	53	$22.26 
3	cds	9/23/2012	126	$22.68 
2	toys	6/1/2010	48	$32.16 
3	dvds	1/25/2014	55	$33.00 
1	cds	8/3/2010	52	$9.36 
3	toys	7/6/2012	75	$48.75 
3	food	9/12/2012	128	$64.00 
5	magazines	6/23/2010	30	$15.60 
2	toys	9/25/2012	129	$98.04 
8	cds	7/23/2010	104	$70.72 
11	dvds	1/20/2013	50	$18.50 
4	books	1/4/2010	82	$8.20 
11	food	2/15/2011	39	$21.06 
10	toys	4/7/2013	50	$33.50 
5	magazines	10/29/2010	136	$73.44 
20	cds	7/10/2011	45	$36.00 
11	books	10/30/2011	52	$31.20 
3	magazines	3/9/2011	81	$8.10 
12	magazines	11/21/2012	116	$29.00 
2	books	7/19/2011	141	$100.11 
15	books	2/29/2012	103	$60.77 
1	cds	8/18/2013	98	$11.76 
13	magazines	5/25/2011	20	$12.00 
15	dvds	10/2/2012	24	$15.12 
7	cds	5/22/2012	87	$13.05 
9	cds	4/24/2013	16	$5.92 
9	dvds	8/12/2012	98	$17.64 
12	magazines	11/29/2014	23	$3.91 
6	food	10/28/2013	86	$24.94 
17	books	9/8/2014	65	$48.75 
20	cds	6/22/2013	42	$28.14 
9	books	4/23/2014	49	$4.90 
16	food	11/10/2011	80	$22.40 
8	books	5/25/2010	115	$28.75 
4	magazines	1/16/2012	119	$55.93 
12	cds	10/10/2011	83	$59.76 
1	food	1/15/2010	129	$74.82 
18	cds	4/13/2013	24	$14.88 
3	food	6/12/2010	18	$4.86 
17	books	12/16/2010	25	$13.50 
11	magazines	6/11/2014	19	$12.92 
4	toys	12/18/2012	100	$64.00 
2	food	12/7/2010	85	$10.20 
10	toys	2/17/2010	40	$32.00 
6	dvds	9/23/2013	131	$65.50 
4	magazines	5/21/2014	57	$13.11 
9	books	4/16/2010	18	$3.96 
15	toys	2/20/2010	68	$40.12 
10	magazines	10/2/2012	48	$17.28 
1	magazines	4/28/2013	30	$6.90 
1	cds	11/18/2014	24	$18.24 
18	dvds	8/11/2010	39	$15.21 
7	cds	4/14/2014	24	$15.60 
12	magazines	6/1/2013	150	$99.00 
1	magazines	9/20/2014	15	$9.15 
18	dvds	6/3/2014	29	$20.88 
3	toys	5/20/2011	134	$46.90 
19	magazines	4/15/2012	51	$33.66 
5	magazines	12/27/2010	110	$58.30 
17	toys	1/30/2010	31	$3.41 
13	books	1/1/2012	120	$16.80 
1	books	2/19/2011	16	$4.16 
8	books	5/15/2014	89	$18.69 
8	dvds	7/2/2012	113	$73.45 
18	toys	12/18/2011	126	$99.54 
17	dvds	1/6/2012	21	$13.86 
3	dvds	10/25/2013	39	$21.84 
4	food	12/9/2013	82	$20.50 
14	magazines	8/15/2013	45	$11.70 
19	books	6/20/2013	37	$11.84 
18	magazines	2/28/2013	60	$31.20 
16	books	2/21/2012	130	$94.90 
5	food	3/2/2010	150	$28.50 
12	cds	12/10/2011	22	$13.20 
3	dvds	2/7/2011	73	$15.33 
4	dvds	6/4/2011	25	$16.50 
8	cds	10/12/2010	10	$5.00 
16	magazines	9/1/2012	108	$70.20 
6	food	9/30/2014	57	$24.51 
7	dvds	6/12/2014	115	$26.45 
9	food	11/9/2012	114	$83.22 
3	cds	4/23/2013	88	$40.48 
13	dvds	4/17/2013	23	$10.35 
4	magazines	10/17/2012	101	$47.47 
15	magazines	10/30/2011	112	$40.32 
20	cds	6/30/2011	95	$15.20 
17	food	9/29/2014	27	$20.79 
5	magazines	9/16/2014	42	$33.60 
10	dvds	4/15/2014	130	$16.90 
18	magazines	4/21/2013	52	$40.04 
12	cds	2/23/2011	64	$33.28 
11	books	3/13/2013	115	$71.30 
2	cds	2/4/2014	26	$11.44 
17	magazines	2/8/2010	94	$58.28 
9	magazines	4/28/2010	47	$30.08 
6	dvds	4/9/2010	54	$10.26 
14	cds	11/22/2010	79	$59.25 
4	toys	5/3/2010	70	$49.70 
7	dvds	10/19/2012	120	$31.20 
20	food	9/18/2012	64	$51.20 
1	magazines	2/17/2012	145	$92.80 
12	toys	1/23/2010	125	$83.75 
3	books	6/7/2010	137	$67.13 
19	magazines	2/3/2011	134	$21.44 
11	dvds	9/22/2010	70	$21.70 
20	magazines	2/15/2010	53	$40.81 
16	toys	9/7/2012	29	$10.73 
15	dvds	3/11/2014	46	$35.88 
6	toys	7/18/2011	62	$24.80 
20	magazines	1/13/2011	60	$31.80 
3	magazines	3/23/2011	17	$11.39 
10	books	7/12/2011	150	$70.50 
2	toys	9/14/2011	105	$68.25 
12	food	6/1/2014	94	$67.68 
18	magazines	7/6/2011	60	$47.40 
2	cds	6/26/2012	17	$3.74 
7	books	3/15/2010	90	$61.20 
2	cds	7/10/2010	42	$25.62 
17	toys	7/23/2010	106	$72.08 
7	cds	1/25/2010	57	$22.80 
20	food	9/21/2012	116	$33.64 
18	food	9/10/2013	14	$9.10 
2	dvds	6/19/2014	44	$21.56 
5	magazines	4/22/2010	133	$97.09 
7	cds	12/8/2010	17	$11.56 
16	books	8/22/2010	53	$37.63 
11	cds	5/12/2013	134	$36.18 
8	magazines	10/18/2012	145	$37.70 
3	food	5/4/2014	40	$12.40 
2	dvds	3/22/2014	116	$47.56 
4	books	9/6/2013	96	$14.40 
11	toys	12/31/2011	104	$23.92 
18	cds	5/3/2010	148	$94.72 
6	dvds	11/8/2012	116	$85.84 
10	magazines	12/24/2010	142	$112.18 
13	toys	7/27/2014	112	$69.44 
7	toys	2/26/2011	78	$12.48 
1	dvds	12/9/2012	76	$19.00 
7	toys	9/21/2014	18	$6.66 
11	books	4/25/2014	128	$71.68 
13	cds	12/26/2011	67	$30.82 
10	books	12/18/2014	132	$66.00 
12	food	5/11/2011	10	$6.70 
12	magazines	12/19/2011	23	$16.56 
15	dvds	1/4/2012	68	$42.84 
20	toys	10/17/2013	137	$91.79 
2	magazines	12/31/2011	129	$23.22 
12	food	1/12/2012	62	$10.54 
10	books	10/5/2012	122	$68.32 
16	books	2/26/2013	109	$65.40 
11	toys	4/28/2011	109	$87.20 
6	books	7/9/2010	54	$6.48 
20	magazines	1/10/2012	96	$33.60 
5	toys	12/29/2012	111	$36.63 
4	magazines	1/7/2014	29	$19.72 
13	toys	1/16/2012	68	$40.80 
17	toys	3/26/2010	108	$66.96 
9	books	2/26/2013	66	$33.66 
16	food	11/4/2011	141	$64.86 
8	toys	11/9/2010	36	$20.52 
20	food	12/17/2011	109	$83.93 
10	food	9/23/2012	11	$2.31 
14	cds	6/4/2013	115	$67.85 
9	cds	4/16/2013	46	$10.12 
18	dvds	10/2/2012	65	$42.90 
10	dvds	3/20/2013	22	$13.42 
2	toys	4/9/2014	116	$61.48 
3	magazines	10/23/2010	106	$67.84 
14	books	9/11/2012	15	$7.80 
1	dvds	2/12/2014	63	$12.60 
1	toys	3/27/2011	91	$28.21 
15	magazines	2/4/2011	125	$92.50 
2	toys	3/1/2014	68	$31.96 
3	magazines	4/22/2010	139	$40.31 
1	food	7/14/2013	123	$70.11 
17	cds	5/24/2011	129	$100.62 
12	cds	12/25/2011	66	$51.48 
15	magazines	6/25/2013	53	$41.34 
17	cds	12/11/2011	147	$44.10 
1	magazines	12/18/2012	142	$102.24 
11	food	2/19/2011	54	$38.34 
14	dvds	4/13/2010	92	$12.88 
2	cds	10/23/2011	101	$80.80 
17	food	3/4/2014	114	$46.74 
7	food	7/15/2011	55	$39.05 
10	cds	8/30/2013	123	$55.35 
8	cds	2/21/2010	41	$12.30 
11	dvds	11/1/2013	143	$42.90 
14	cds	2/27/2010	58	$26.10 
18	magazines	2/13/2014	93	$62.31 
4	toys	4/18/2014	52	$13.00 
8	books	10/28/2010	121	$24.20 
8	magazines	2/25/2013	56	$21.84 
13	food	5/31/2012	126	$63.00 
11	magazines	6/30/2013	112	$32.48 
6	magazines	5/9/2014	37	$28.49 
7	books	4/22/2014	81	$61.56 
12	cds	2/20/2014	72	$20.16 
4	cds	3/2/2011	122	$78.08 
19	toys	12/19/2010	17	$11.39 
2	dvds	6/1/2010	91	$38.22 
12	books	8/9/2012	54	$30.78 
8	food	9/21/2013	124	$60.76 
2	food	7/3/2013	100	$31.00 
9	magazines	7/7/2012	108	$64.80 
6	toys	2/24/2010	24	$5.28 
7	magazines	4/3/2013	127	$97.79 
2	magazines	1/29/2010	105	$11.55 
7	dvds	5/6/2013	79	$59.25 
10	toys	3/27/2010	110	$34.10 
8	magazines	1/3/2010	80	$12.00 
15	food	12/8/2010	138	$86.94 
10	books	7/9/2013	66	$52.80 
5	food	1/1/2010	133	$18.62 
5	cds	10/31/2010	19	$5.70 
13	magazines	1/29/2011	148	$74.00 
6	magazines	10/4/2010	31	$5.89 
15	books	10/1/2012	98	$22.54 
9	cds	9/21/2011	32	$20.16 
10	cds	2/1/2010	50	$21.50 
7	food	2/12/2012	84	$67.20 
15	food	2/16/2013	73	$8.03 
3	cds	11/28/2012	49	$35.77 
15	books	1/31/2013	25	$16.75 
6	books	4/17/2014	17	$5.95 
11	food	2/7/2010	12	$7.92 
8	magazines	2/10/2014	133	$71.82 
9	toys	7/31/2010	93	$14.88 
2	cds	8/2/2010	115	$65.55 
7	cds	3/15/2011	33	$15.84 
16	cds	7/25/2014	143	$80.08 
8	toys	1/21/2011	47	$37.13 
14	dvds	7/11/2014	69	$6.90 
5	cds	8/29/2010	51	$13.26 
1	dvds	10/5/2014	129	$51.60 
20	magazines	2/19/2013	100	$69.00 
4	dvds	1/2/2010	67	$9.38 
2	dvds	1/12/2012	49	$27.93 
9	toys	3/9/2013	50	$30.50 
3	books	8/24/2011	18	$8.46 
9	dvds	9/2/2012	143	$97.24 
9	dvds	4/18/2014	11	$2.09 
5	cds	6/10/2013	90	$41.40 
14	cds	8/30/2011	106	$49.82 
2	magazines	8/2/2010	77	$47.74 
16	food	8/16/2014	86	$37.84 
16	cds	2/27/2011	81	$24.30 
15	dvds	9/10/2011	21	$8.40 
17	food	11/30/2011	19	$6.08 
